제품명,제조사,카테고리1,카테고리2,표준중량/규격
아몬드빼빼로빅팩,롯데웰푸드,과자,스낵,256g
아몬드크래커,크라운제과,과자,비스킷/쿠키,133g
아이비,해태제과,과자,비스킷/쿠키,155g
아이비아몬드크래커,해태제과,과자,스낵,178g
아이스톡복숭아아이스티,자뎅,음료,차음료,230ml
아이스톡블루레몬에이드,자뎅,음료,과채/혼합음료,230ml
아이스톡블루베리에이드,자뎅,음료,과채/혼합음료,230ml
아이스톡석류에이드,자뎅,음료,과채/혼합음료,230ml
아이스톡수박에이드,자뎅,음료,과채/혼합음료,230ml
아이스톡아메리카노블랙,자뎅,음료,커피음료,230ml
아이스톡아메리카노스위트,자뎅,음료,커피음료,230ml
아이스톡제로레몬에이드,자뎅,음료,과채/혼합음료,230ml
아이스톡제로복숭아아이스티,자뎅,음료,차음료,230ml
아이스톡청포도에이드,자뎅,음료,과채/혼합음료,230ml
아이스톡키위에이드,자뎅,음료,과채/혼합음료,230ml
아이스톡패션망고에이드,자뎅,음료,과채/혼합음료,230ml
아이쮸딸기,크라운제과,과자,젤리/캔디,44gx15
아이쮸사과,크라운제과,과자,젤리/캔디,44gx15
아이쮸포도,크라운제과,과자,젤리/캔디,44gx15
알사탕,해태제과,과자,젤리/캔디,126g
애니타임레몬,롯데웰푸드,과자,젤리/캔디,60g
애니타임밀크,롯데웰푸드,과자,젤리/캔디,60g
애니타임블루마린,롯데웰푸드,과자,젤리/캔디,60g
애니타임자두복숭아,롯데웰푸드,과자,젤리/캔디,60g
애플샌드,크라운제과,과자,비스킷/쿠키,272g
야채크래커,롯데웰푸드,과자,비스킷/쿠키,83g
야채크래커벌크,롯데웰푸드,과자,비스킷/쿠키,249g
양파깡,농심,과자,스낵,83g
얼려먹는초코만들기,오리온,과자,초콜릿/DIY,38g
얼음컵,기타제조사,과자,스낵,240g
얼큰한알탕,기타제조사,과자,스낵,70g
엄마손파이,롯데웰푸드,과자,비스킷/쿠키,127g
엄마손파이(대),기타제조사,과자,스낵,254g
에이스,해태제과,과자,비스킷/쿠키,121g
에이스(시판),해태제과,과자,스낵,364g
에이스바스크치즈,해태제과,과자,비스킷/쿠키,364g
에이스씬솔티카라멜,해태제과,음료,음료수,291ml
에이스씬에스프레소,해태제과,과자,비스킷/쿠키,291g
연양갱,해태제과,과자,젤리/양갱,55g
연양갱10팩,해태제과,과자,젤리/양갱,500g
예감오리지날,오리온,과자,스낵/비스킷,64g
예감오리지널,오리온,과자,스낵,64g
예감치즈,오리온,과자,스낵/비스킷,64g
예쓰피스타치오&초코,해태제과,과자,비스킷/케이크,280g
오감자,오리온,과자,스낵,50g
오감자딥양념바베큐,오리온,과자,아이스크림,115g
오곡쿠키,크라운제과,과자,비스킷/쿠키,288g
오뜨쇼콜라,오리온,과자,비스킷/케이크,150g
오뜨치즈,기타제조사,과자,스낵,70g
오라떼애플,동아오츠카,음료,혼합음료,240ml
오라떼피치,동아오츠카,음료,혼합음료,240ml
오란씨오렌지,동아오츠카,음료,탄산음료,1.5L
오란씨파인애플,동아오츠카,음료,탄산음료,1.5L
오로나민C,동아오츠카,음료,탄산/건강음료,120mlx10
오리온샌드나,오리온,과자,비스킷/쿠키,77g
오리지날크래커,해태제과,과자,비스킷/쿠키,172g
오리지널꽈배기,농심,과자,스낵,285g
오사쯔,해태제과,과자,스낵,100g
오예스,해태제과,과자,비스킷/케이크,360g
오예스미니,해태제과,과자,비스킷/케이크,192g
오예스미니크림소다맛,해태제과,과자,스낵,192g
오예스베이크하우스얼&쇼,해태제과,과자,스낵,280g
오예스베이크하우스얼그레이&쇼콜라,해태제과,과자,스낵,280g
오예스베이크하우스얼그레이쇼콜라,해태제과,과자,스낵,280g
오예스우베라떼,해태제과,음료,음료수,250ml
오예스쿠키앤크림,해태제과,과자,비스킷/케이크,360g
오징어젓,기타제조사,과자,스낵,10kg
옥동자,기타제조사,과자,스낵,70g
옥동자밀크,롯데웰푸드,과자,아이스크림,70g
옥수수수염차,광동제약,음료,음료수,500ml
옥수수수염차라이트,광동제약,음료,음료수,500ml
와바닐라,기타제조사,과자,아이스크림,190g
와우소다,오리온,과자,껌,21g
와일드바디,롯데웰푸드,과자,아이스크림,70g
왓따복숭아,롯데웰푸드,과자,껌,23g
왓따콜라,롯데웰푸드,과자,껌,23g
왕고래밥볶음,오리온,과자,스낵,56g
왕꿈틀이,오리온,과자,젤리/캔디,67g
왕포도알제로슈가,기타제조사,과자,스낵,70g
왕포도알쭈쭈바,기타제조사,과자,아이스크림,70g
요구르트아이스멀티,기타제조사,과자,아이스크림,170g
요구르트젤리,롯데웰푸드,과자,젤리/캔디,50g
우엉차,기타제조사,음료,음료수,500ml
월드콘바닐라,롯데웰푸드,과자,아이스크림,160g
월드콘초코,롯데웰푸드,과자,아이스크림,160g
월드콘쿠키앤크림,롯데웰푸드,과자,아이스크림,160g
웰치스딸기맛,농심(수입),음료,탄산음료,355ml
웰치스적포도,농심(수입),음료,탄산음료,355ml
웰치스청포도,농심(수입),음료,탄산음료,355ml
웰치스청포도맛,기타제조사,과자,스낵,355g
위생천,기타제조사,과자,스낵,75g
